date,AAPL,ABBV,ABNB,ACN,ADBE,AMD,AMGN,AMZN,ARM,AVGO,AXP,BA,BAC,CAT,COIN,COST,CRM,CRWD,CSCO,CVX,DDOG,DIS,DOW,GOOG,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,LCID,LLY,MA,MCD,META,MMM,MRK,MSFT,NET,NFLX,NKE,NVDA,ORCL,PANW,PEP,PG,PLTR,PYPL,QCOM,RIVN,SHOP,SNOW,TMO,TRV,TSLA,TXN,UBER,UNH,V,VZ,WMT,XOM,ZS,agent
2025-05-07,-1,0,1,0,-1,3,3,1,2,65,0,0,0,0,51,0,1,0,0,0,-1,15,-5,-4,0,0,1,0,12,-1,0,0,0,0,0,3,0,0,0,0,1,0,6,5,1,-1,2,0,1,3,3,0,0,-1,-1,26,0,2,4,0,0,1,1,-1,0,RuleBased (RegimeAdaptive)
2025-05-08,1,0,2,1,0,2,-2,1,-10,0,2,-1,5,0,0,0,1,0,0,1,5,2,11,2,0,1,0,0,20,0,18,12,0,-1,0,0,0,-1,-19,0,-1,1,1,1,0,0,-1,-1,0,6,1,0,0,0,1,0,0,0,1,-1,0,1,0,2,0,RuleBased (RegimeAdaptive)
2025-05-09,0,0,0,-1,0,1,-1,1,-2,0,0,0,1,0,0,0,-2,0,0,0,-3,1,3,-1,0,-1,-1,0,7,1,0,2,0,0,8,0,0,0,-21,0,-3,0,-3,-1,0,52,-2,0,7,-1,0,0,1,37,-1,1,0,4,1,0,14,0,0,-1,0,RuleBased (RegimeAdaptive)
2025-05-12,3,-1,6,4,2,8,5,7,104,0,24,0,13,4,0,0,5,-1,-3,3,6,3,19,5,1,3,2,0,18,0,-1,0,0,0,-1,0,2,-2,27,0,33,0,21,10,5,0,2,1,2,8,6,0,-7,-1,5,0,0,7,-7,0,0,1,1,3,-1,RuleBased (RegimeAdaptive)
2025-05-13,0,1,-5,0,1,6,-2,0,0,0,0,0,6,1,0,0,0,0,1,0,80,1,-3,1,14,-1,-1,-1,9,-1,0,0,0,0,0,0,1,0,-8,0,-2,-1,-1,9,3,0,-2,-8,-4,-2,-1,0,-1,0,-1,0,0,0,-3,-7,0,0,0,0,0,RuleBased (RegimeAdaptive)
2025-05-14,0,-1,58,0,0,6,-2,0,0,0,0,0,158,0,0,0,0,0,0,-1,0,1,-7,4,0,28,40,0,-72,1,0,0,0,-1,0,1,0,0,-7,0,-1,0,-6,77,0,0,-2,-1,0,136,1,0,45,0,-1,0,0,0,1,-1,0,1,0,-1,0,RuleBased (RegimeAdaptive)
2025-05-15,0,0,0,0,1,-3,5,-1,0,0,0,0,0,0,0,0,37,0,-5,1,0,53,-4,-1,0,0,0,20,-9,-1,0,-8,0,13,0,-1,0,0,3,0,1,-1,2,0,49,0,4,5,3,0,0,0,0,1,0,-1,0,-1,0,-5,0,-3,0,0,0,RuleBased (RegimeAdaptive)
2025-05-16,0,0,0,-1,2,73,0,35,0,54,0,0,0,0,0,0,0,0,0,-1,0,0,4,2,0,0,0,0,3,0,1,0,0,0,0,0,13,-1,4,0,-1,0,2,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,-1,3,0,-1,4,-1,0,RuleBased (RegimeAdaptive)
2025-05-19,-1,-1,0,29,28,0,1,0,0,1,0,0,0,25,0,0,0,1,66,-2,0,0,-1,54,0,0,0,0,-15,0,0,2,0,0,0,0,0,0,3,0,1,1,-3,0,0,0,-3,0,2,0,0,0,2,0,0,0,0,40,2,4,0,-1,1,-3,1,RuleBased (RegimeAdaptive)
2025-05-20,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,-4,0,0,0,0,0,-6,-97,0,1,0,-12,0,0,0,30,1,0,0,0,-2,0,0,0,0,1,4,0,-1,0,1,1,0,2,0,0,3,0,0,1,0,-2,0,RuleBased (RegimeAdaptive)
2025-05-21,-1,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,-14,0,0,0,0,1,-53,-1,0,1,0,-1,0,0,0,0,-3,0,1,0,-8,0,0,0,-3,-1,2,0,62,0,1,1,-1,0,0,0,-1,-2,0,1,3,-2,1,RuleBased (RegimeAdaptive)
2025-05-22,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,-1,0,0,-2,0,0,0,0,0,-40,-1,1,0,0,0,0,1,0,0,2,0,0,0,6,0,0,0,-3,0,0,0,0,0,0,-9,0,0,0,0,0,-1,0,1,1,-1,0,RuleBased (RegimeAdaptive)
2025-05-23,-2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,-5,0,0,0,0,0,-32,0,0,0,0,0,1,0,0,0,-2,0,0,2,-5,0,0,0,-2,0,1,0,0,0,1,1,0,1,0,0,1,0,0,-1,0,0,0,RuleBased (RegimeAdaptive)
2025-05-27,1,0,0,0,0,0,3,0,0,-1,0,0,0,0,0,0,0,0,-1,1,0,0,9,0,0,0,0,-1,23,0,-1,0,0,0,-1,0,0,1,-1,0,0,-1,12,0,0,0,4,1,2,0,0,0,-3,-1,1,0,0,0,1,0,0,0,0,1,0,RuleBased (RegimeAdaptive)
2025-05-28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-2,0,0,-8,0,0,0,0,0,-19,-1,1,1,0,0,0,0,0,0,-5,0,0,0,-4,0,0,0,-3,0,2,0,0,0,1,1,0,0,0,0,1,0,0,2,0,-4,1,RuleBased (RegimeAdaptive)
2025-05-29,0,-73,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,1,-21,1,1,6,0,0,1,0,0,1,1,0,0,0,134,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,-3,0,1,1,1,1,0,RuleBased (RegimeAdaptive)
2025-05-30,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,-1,0,0,-15,0,0,0,0,0,-44,2,0,0,0,0,0,0,0,1,1,0,0,-1,0,0,0,0,-1,1,-2,0,0,0,0,0,-1,0,0,0,0,1,0,-2,-1,-2,-5,RuleBased (RegimeAdaptive)
2025-06-02,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,-9,0,0,0,0,-1,12,0,0,0,0,1,0,0,0,0,-2,0,2,12,0,0,0,0,-1,-1,5,0,0,0,1,6,0,0,0,0,1,0,0,4,0,1,-1,RuleBased (RegimeAdaptive)
2025-06-03,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,1,0,0,9,0,0,0,0,2,35,-1,0,-74,0,-1,0,3,0,-1,3,0,0,0,0,0,0,0,2,-1,1,0,0,0,1,0,0,0,0,0,1,-1,0,7,2,0,0,RuleBased (RegimeAdaptive)
2025-06-04,0,0,0,0,0,0,-1,0,0,1,0,1,0,0,0,0,0,1,2,-2,0,0,8,0,0,0,0,0,640,-1,1,0,0,1,0,0,0,1,4,0,4,2,0,0,0,0,-1,-1,6,0,0,0,-98,3,1,0,0,0,3,0,0,1,4,-4,2,RuleBased (RegimeAdaptive)
2025-06-05,-1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,0,0,0,-2,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,-2,0,-1,1,0,0,0,0,-3,-2,-2,0,0,0,0,0,-1,0,0,0,3,0,1,22,0,-3,0,RuleBased (RegimeAdaptive)
2025-06-06,35,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,-2,3,0,0,5,0,0,0,0,0,0,1,-1,1,0,0,0,1,0,0,4,0,0,1,0,0,0,0,-4,72,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,5,0,RuleBased (RegimeAdaptive)
2025-06-09,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,1,-1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,5,0,2,1,RuleBased (RegimeAdaptive)
2025-06-10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,17,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,7,18,0,1,0,0,0,0,4,0,3,0,0,0,0,1,0,0,0,0,1,0,0,162,0,2,0,RuleBased (RegimeAdaptive)
2025-06-11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,-1,0,77,0,0,0,-23,0,0,-3,0,0,1,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,RuleBased (RegimeAdaptive)
2025-06-12,0,47,0,0,0,0,47,0,0,0,0,1,0,0,0,1,0,1,-1,0,0,0,-7,0,0,0,0,1,0,1,0,1,-785,0,0,0,0,1,6,0,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,RuleBased (RegimeAdaptive)
2025-06-13,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,0,0,1,57,0,0,-3,0,0,0,0,0,0,65,0,-1,-50,0,-1,0,0,0,-1,0,0,2,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,0,1,3,0,RuleBased (RegimeAdaptive)
2025-06-16,-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2,0,0,0,8,0,14,0,0,1,0,0,0,1,28,0,0,0,12,-1,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,99,0,1,0,0,0,0,-1,0,-1,0,1,0,RuleBased (RegimeAdaptive)
2025-06-17,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,0,0,0,0,0,0,0,0,1,-16,-1,0,0,0,1,-7,0,0,0,0,0,0,50,-2,0,0,0,0,0,1,0,-1,1,0,0,1,0,0,-2,0,2,0,RuleBased (RegimeAdaptive)
2025-06-18,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-13,0,0,0,0,1,-701,0,0,-77,58,0,0,0,0,0,3,0,0,0,0,0,0,0,-1,0,2,0,0,0,1,1,0,0,0,0,-1,0,-1,-162,0,-1,0,RuleBased (RegimeAdaptive)
2025-06-20,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-43,0,0,0,0,50,-11,0,0,0,0,0,-28,0,0,0,-23,-1,0,0,0,-1,-6,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,2,89,1,RuleBased (RegimeAdaptive)
2025-06-23,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-1,1,1,-1,0,0,0,-15,0,0,0,42,-1,-5,0,0,0,-27,0,0,1,0,-1,4,0,1,2,0,0,0,0,-3,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,RuleBased (RegimeAdaptive)
